"Symbol: CLV25",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2024-08-02,68.45,70.94,68.45,68.45,-2.3599999999999994,539,16756
2024-08-05,68.47,68.66,67.98,68.47,0.01999999999999602,319,16723
2024-08-06,68.25,69.03,68.25,68.25,-0.21999999999999886,306,16747
2024-08-07,69.71,69.71,69.3,69.38,1.1299999999999955,118,16772
2024-08-08,70.2,70.2,70.2,70.2,0.8200000000000074,271,16944
2024-08-09,70.62,70.62,70.62,70.62,0.4200000000000017,155,17013
2024-08-12,71.84,72.37,71.84,72.37,1.75,257,17002
2024-08-13,71.25,71.25,71.25,71.25,-1.1200000000000045,1031,17161
2024-08-14,70.84,71.3,70.84,70.84,-0.4099999999999966,223,17309
2024-08-15,71.72,71.73,71.55,71.55,0.7099999999999937,518,17514
2024-08-16,70.66,70.66,70.41,70.51,-1.039999999999992,589,17611
2024-08-19,70.66,70.66,69.47,69.47,-1.0400000000000063,145,17598
2024-08-20,69.48,69.48,68.51,68.82,-0.6500000000000057,608,17835
2024-08-21,69.38,69.38,67.47,68.05,-0.769999999999996,1775,18588
2024-08-22,68.43,68.78,68.24,68.66,0.6099999999999994,2450,18771
2024-08-23,69.97,69.97,69.97,69.97,1.3100000000000023,729,18741
2024-08-26,71.09,71.24,71.06,71.24,1.269999999999996,962,18953
2024-08-27,70.19,70.19,70.19,70.19,-1.0499999999999972,843,19192
2024-08-28,69.33,69.33,69.33,69.33,-0.8599999999999994,575,19453
2024-08-29,70.21,70.24,70.21,70.24,0.9099999999999966,400,19624
2024-08-30,68.7,68.92,68.69,68.92,-1.3199999999999932,1526,19896
2024-09-03,67.09,67.09,66.71,66.71,-2.210000000000008,2592,21081
2024-09-04,66.74,67,66.22,66.22,-0.4899999999999949,3619,22670
2024-09-05,66.85,66.87,66.44,66.66,0.4399999999999977,2917,22048
2024-09-06,66.91,66.91,65.42,65.45,-1.2099999999999937,1550,22809
2024-09-09,65.93,65.93,65.7,65.7,0.25,1047,23094
2024-09-10,64.75,64.75,63.63,63.63,-2.0700000000000003,2076,23033
2024-09-11,64.77,64.77,64.77,64.77,1.1399999999999935,1415,23755
2024-09-12,65.8,66.01,65.8,66.01,1.240000000000009,382,23727
