date,im_correction_factor,price,pnl,baseline_margin,garch_volatility,margin_950,margin_990,margin_995,dynamic_margin,baseline_breach_950,baseline_breach_990,baseline_breach_995,baseline_breach,dynamic_breach,baseline_breach_magnitude,dynamic_breach_magnitude
2025-02-05,0.97676903,68.0,0.09000000000000341,1.9882840099526837,0.00940637515463787,1.2356647524521391,1.9882840099526837,2.3398035543582583,1.9420942437659934,0,0,0,0,0,0.0,0.0
2025-02-06,0.97080004,68.09,0.3499999999999943,2.265351307975833,0.010702987441141008,1.4078545867567993,2.265351307975833,2.6658550869692514,2.199203140396991,0,0,0,0,0,0.0,0.0
2025-02-07,0.974236,68.44,0.9900000000000091,2.043777550919267,0.009606748300151714,1.270152487714265,2.043777550919267,2.405108100261953,1.991121666097383,0,0,0,0,0,0.0,0.0
2025-02-10,0.97797984,69.43,1.0999999999999943,2.100047402235968,0.009730490232500505,1.30512267886891,2.100047402235968,2.4713262046449187,2.053804022431148,0,0,0,0,0,0.0,0.0
2025-02-11,0.9737187,70.53,-1.4399999999999977,2.3012268794675186,0.010496350944676845,1.4301502844259706,2.3012268794675186,2.708073295872354,2.240747645480169,1,0,0,0,0,0.0,0.0
2025-02-12,0.9766,69.09,-0.15000000000000568,2.4477767840450153,0.01139749491935743,1.5212270876669456,2.4477767840450153,2.8805325551657233,2.390498807298362,0,0,0,0,0,0.0,0.0
2025-02-13,0.96936196,68.94,-0.09000000000000341,2.7827449390746466,0.012985387411200113,1.7294007390628994,2.7827449390746466,3.274721552216407,2.69748708832148,0,0,0,0,0,0.0,0.0
2025-02-14,0.9687401,68.85,0.6500000000000057,2.5198732097963976,0.011774094936939494,1.5660330669097628,2.5198732097963976,2.9653753001584895,2.441102225245483,0,0,0,0,0,0.0,0.0
2025-02-18,0.9707183,69.5,0.25,2.46670041594082,0.01141785151909167,1.5329876132281712,2.46670041594082,2.9028017988701103,2.3944712343713657,0,0,0,0,0,0.0,0.0
2025-02-19,0.9789947,69.75,0.4300000000000068,2.473176275563364,0.011406795310465205,1.5370121848876275,2.473176275563364,2.910422560937554,2.421226465942273,0,0,0,0,0,0.0,0.0
2025-02-20,0.97639716,70.18,-1.8200000000000074,2.3494236499451446,0.01076962945099316,1.4601032741211628,2.3494236499451446,2.7647910355451795,2.293970579443273,1,0,0,0,0,0.0,0.0
2025-02-21,0.99255425,68.36,0.10999999999999943,2.2650122307229794,0.01065911839205841,1.4076438594122085,2.2650122307229794,2.665456062404623,2.2481475159060738,0,0,0,0,0,0.0,0.0
2025-02-24,0.9726381,68.47,-1.6500000000000057,2.859932187579515,0.013437181900873525,1.7773705270000362,2.859932187579515,3.365555154206257,2.781679009056183,0,0,0,0,0,0.0,0.0
2025-02-25,0.9845637,66.82,-0.539999999999992,2.389381445950213,0.011503547874613343,1.4849359639491673,2.389381445950213,2.8118131876366235,2.352498237136092,0,0,0,0,0,0.0,0.0
2025-02-26,0.9794816,66.28,1.2199999999999989,3.066953946553643,0.014885983849602082,1.9060289526949947,3.066953946553643,3.609177415941737,3.0040249586966765,0,0,0,0,0,0.0,0.0
2025-02-27,0.9781198,67.5,-0.6500000000000057,2.753678889824646,0.013123881820548588,1.7113369753493248,2.753678889824646,3.2405167580291208,2.6934278449795044,0,0,0,0,0,0.0,0.0
2025-02-28,0.9800398,66.85,-0.8499999999999943,3.177788410812592,0.015292424809940666,1.974909575461236,3.177788410812592,3.739606907966196,3.1143591185750905,0,0,0,0,0,0.0,0.0
2025-03-03,0.97971845,66.0,-0.4399999999999977,2.8732636385993504,0.014005039236467629,1.785655663349669,2.8732636385993504,3.381243544961713,2.814989398449916,0,0,0,0,0,0.0,0.0
2025-03-04,0.9793499,65.56,-1.4500000000000028,3.090285333380739,0.015163952815014169,1.920528778768009,3.090285333380739,3.6366336855455184,3.0264706322178934,0,0,0,0,0,0.0,0.0
2025-03-05,0.9801426,64.11,-0.04999999999999716,2.782353349719137,0.013961731919066142,1.7291573768663437,2.782353349719137,3.27426073164888,2.727103046312424,0,0,0,0,0,0.0,0.0
2025-03-06,0.97948104,64.06,0.730000000000004,3.2436758403881574,0.01628933295283589,2.0158568314612157,3.2436758403881574,3.8171429345784635,3.1771189855662665,0,0,0,0,0,0.0,0.0
2025-03-07,0.97171533,64.79,-1.1200000000000045,2.8163425893543415,0.013983963809535838,1.7502807702898369,2.8163425893543415,3.3142591138268256,2.7366832686075084,0,0,0,0,0,0.0,0.0
2025-03-10,0.9815128,63.67,0.21000000000000085,2.958098218245064,0.014946191023185916,1.8383780608203384,2.958098218245064,3.4810764913586687,2.9034112648647237,0,0,0,0,0,0.0,0.0
2025-03-11,0.97449315,63.88,1.3099999999999952,2.996064333588146,0.015088255014705527,1.8619729749684912,2.996064333588146,3.5257548427311334,2.9196441700409634,0,0,0,0,0,0.0,0.0
